universe,leg_x,leg_y,correlation,n_obs,spread_mean,spread_std,hedge_ratio,coint_statistic,coint_pvalue,half_life,min_corr_used
core_sectors,IWD,MDY,0.9155138000370054,251,-1.084161705981006,0.01337270897510473,0.9935189332332194,-2.7725004798007804,0.17459142726507232,,0.8
core_sectors,SCHV,MDY,0.8985555908418001,251,-2.892332225086969,0.013783292126652474,0.9690294337439946,-2.7642205677557907,0.1773347322086261,,0.8
core_sectors,SCHV,IWD,0.9902090953374338,251,-1.846812790912596,0.002321508142012959,0.9776581763355614,-2.729873393480683,0.18901880145656708,108983.77646927863,0.8
core_sectors,SPY,DIA,0.8189318617905543,251,-1.0974781833556901,0.02249540976708351,1.233723006218115,-2.6717638732594864,0.20989798858133218,3137.0391552749447,0.8
core_sectors,IWM,MDY,0.9557521835219249,251,-1.680798042218929,0.015564534678710589,1.1154464100345474,-2.6557508713534492,0.2158952214354367,,0.8
core_sectors,IYW,VOO,0.9103180094497821,251,-2.1135026357578153,0.0208281748976434,1.1427878193876766,-2.627450159462764,0.2267488138627956,11052.322948752582,0.8
core_sectors,EFA,VGK,0.9606640368308872,251,0.6406324168676849,0.007078850781645814,0.8862432333548297,-2.625361601277874,0.22756257597290958,,0.8
core_sectors,IYW,IVV,0.9106365585305739,251,-2.2160144789302882,0.020836750923083014,1.1429343957983389,-2.6252529952402224,0.22760493979722052,11549.668253954213,0.8
core_sectors,IYW,SPY,0.9103810447694494,251,-2.2381261942952335,0.020814582835589773,1.1471595805892587,-2.6233391678002924,0.22835223888492756,11818.912389004252,0.8
core_sectors,VGT,VOO,0.9143722716417688,251,-0.8253443016262472,0.01965995436384399,1.1527215899484127,-2.5434927205605837,0.2602315618957328,4750.182901663516,0.8
core_sectors,VGT,IVV,0.9149576357343377,251,-0.9286349289454662,0.019674539259761033,1.1528515569395044,-2.537963722941149,0.2625874075516187,5422.897668011412,0.8
core_sectors,IYW,SCHG,0.9730445408206086,251,1.941032673431536,0.012977713054973894,0.945799846817908,-2.5120355462853974,0.2737869396023219,50004.30027533928,0.8
core_sectors,DIA,VOO,0.8172553433531758,251,1.4773095993007495,0.017292766948487245,0.726754574577759,-2.502609494754068,0.2779193707073198,9005.76176491093,0.8
core_sectors,DIA,IVV,0.8165201852157581,251,1.41214847001563,0.017298007218644846,0.7268428282940016,-2.498986152809605,0.2795163442504959,8629.354097826767,0.8
core_sectors,VWO,FXI,0.8287826352313661,251,2.3139405475249615,0.016814012725734382,0.4385410106537102,-2.4965448441732687,0.2805949764286182,92311.61176288102,0.8
core_sectors,IYW,IWF,0.9729943274006144,251,-0.8725729866405985,0.012104896064805571,0.9947886309706621,-2.4603083154201086,0.2968490668159687,,0.8
core_sectors,QQQ,VOO,0.9447971227385158,251,0.06756685982890571,0.015347710887080434,0.979621639268497,-2.420935914200764,0.3150044133405948,719.7542262020513,0.8
core_sectors,QQQ,IVV,0.9455795483433058,251,-0.020179653967119335,0.015362928478437272,0.9797267805006363,-2.4119266067368503,0.3192272481796604,34.84006529843057,0.8
core_sectors,SPY,VGT,0.9152142413847654,251,1.1159225142447569,0.016515212632010338,0.8176195436650849,-2.378298026413803,0.335201234247847,20152.117213444944,0.8
core_sectors,VEA,EWJ,0.8047503740321974,251,0.014496639911272105,0.020327066479269715,0.9169641977980749,-2.3663333967778195,0.34096144396795186,21.92185140603749,0.8
core_sectors,DIA,MDY,0.8440399721043484,251,0.08184019365136128,0.017148220492799418,0.9371483442656467,-2.342015205476084,0.3527855533633016,392.2099242009177,0.8
core_sectors,SOXX,SCHG,0.8225270411371811,251,3.9536564166668673,0.06137069459052986,0.45086161630358756,-2.3340014096949835,0.3567147308312635,,0.8
core_sectors,SOXX,IWF,0.825688345494782,251,2.6042063806891367,0.061254052487003684,0.4756140180670831,-2.308013392235057,0.36956105864837463,,0.8
core_sectors,EFA,EWJ,0.8046690772704902,251,0.422975749211186,0.020940359794618574,0.9295219850146539,-2.286462643226214,0.38032690646064404,2122.0899014946554,0.8
core_sectors,SCHG,IWF,0.9958122767718042,251,-2.9612610067159517,0.003110431034894331,1.0494803251633589,-2.2556771889819154,0.39586520616637033,,0.8
