leg_x,leg_y,correlation,pair_bucket,corr_threshold_used,sector_x,sector_y
SPY,SCHV,0.9551137813705561,Cross Sector,0.7,Broad Market,Factor
RSP,VB,0.9550933920907541,Same Sector,0.7,Broad Market,Broad Market
RSP,VBR,0.9550732503483543,Cross Sector,0.7,Broad Market,Factor
QQQ,SPYG,0.9549772576929497,Cross Sector,0.7,Broad Market,Factor
VTI,SCHV,0.9549251425685074,Cross Sector,0.7,Broad Market,Factor
VEA,FEZ,0.954329075779075,Same Sector,0.7,International,International
RSP,SPYV,0.954307594411724,Cross Sector,0.7,Broad Market,Factor
VOO,SCHV,0.9539796517318159,Cross Sector,0.7,Broad Market,Factor
IWB,SCHV,0.9538261790833608,Cross Sector,0.7,Broad Market,Factor
VV,VTV,0.953674078854791,Cross Sector,0.7,Broad Market,Factor
OEF,DIA,0.9531596749621474,Same Sector,0.7,Broad Market,Broad Market
VUG,IYW,0.9526718880225938,Cross Sector,0.7,Factor,Technology
EFA,EWQ,0.9525256809435437,Same Sector,0.7,International,International
IWF,IYW,0.9522951216915875,Cross Sector,0.7,Factor,Technology
VEA,EWQ,0.952257946842162,Same Sector,0.7,International,International
VGK,EWG,0.9520881887077663,Same Sector,0.7,International,International
VOO,IWD,0.9518096238190243,Cross Sector,0.7,Broad Market,Factor
MDY,VBK,0.9515197570000555,Cross Sector,0.7,Broad Market,Factor
VV,SCHV,0.9513732461433496,Cross Sector,0.7,Broad Market,Factor
VUG,XLK,0.9510696609774977,Cross Sector,0.7,Factor,Technology
IWF,XLK,0.950995571303448,Cross Sector,0.7,Factor,Technology
VOO,IVE,0.950703524372516,Cross Sector,0.7,Broad Market,Factor
VTI,IJH,0.9499283782539285,Same Sector,0.7,Broad Market,Broad Market
IVW,VGT,0.9497984120209518,Cross Sector,0.7,Factor,Technology
SPYG,VGT,0.9489846399033215,Cross Sector,0.7,Factor,Technology
GDXJ,GDX,0.948599460528701,Same Sector,0.7,Materials,Materials
IVW,XLK,0.9480432426415554,Cross Sector,0.7,Factor,Technology
VTI,MDY,0.9471471619137807,Same Sector,0.7,Broad Market,Broad Market
SCHV,DVY,0.9471181216762365,Same Sector,0.7,Factor,Factor
RSP,DIA,0.946802359572018,Same Sector,0.7,Broad Market,Broad Market
VOO,VTV,0.9466623324817693,Cross Sector,0.7,Broad Market,Factor
DIA,VYM,0.9461957675998978,Cross Sector,0.7,Broad Market,Factor
EWQ,EWG,0.9461057440457301,Same Sector,0.7,International,International
IVV,VYM,0.9453193968850647,Cross Sector,0.7,Broad Market,Factor
VTV,DVY,0.9443720936888553,Same Sector,0.7,Factor,Factor
IVE,DVY,0.9443381206805027,Same Sector,0.7,Factor,Factor
VTI,VB,0.9443020016394429,Same Sector,0.7,Broad Market,Broad Market
IVW,IYW,0.9439346193724804,Cross Sector,0.7,Factor,Technology
EZU,EWN,0.9435925728997151,Same Sector,0.7,International,International
VFH,KBE,0.9423161840409441,Same Sector,0.7,Financials,Financials
IJH,IWD,0.9422484467459414,Cross Sector,0.7,Broad Market,Factor
IWD,DVY,0.9418260394267766,Same Sector,0.7,Factor,Factor
IWB,IJH,0.9413348097884551,Same Sector,0.7,Broad Market,Broad Market
IVV,SPYV,0.9412146661018269,Cross Sector,0.7,Broad Market,Factor
IEI,IEF,0.9410554305454664,Same Sector,0.7,Fixed Income,Fixed Income
VGK,EWU,0.9410512504123836,Same Sector,0.7,International,International
OEF,IVE,0.9409812685734787,Cross Sector,0.7,Broad Market,Factor
SPYG,XLK,0.9408124755877997,Cross Sector,0.7,Factor,Technology
SPYG,IYW,0.9408060586016926,Cross Sector,0.7,Factor,Technology
VGK,EWN,0.9402080235676729,Same Sector,0.7,International,International
VTI,SPYV,0.9397388842229343,Cross Sector,0.7,Broad Market,Factor
IWB,VYM,0.939336982331981,Cross Sector,0.7,Broad Market,Factor
MDY,IWD,0.9391082050694631,Cross Sector,0.7,Broad Market,Factor
OEF,IWD,0.9390297309734478,Cross Sector,0.7,Broad Market,Factor
VV,VYM,0.9388432970592012,Cross Sector,0.7,Broad Market,Factor
IJR,VBK,0.9388367507158875,Cross Sector,0.7,Broad Market,Factor
