direction,entry_date,exit_date,entry_z,exit_z,entry_spread,exit_spread,hedge_ratio,pnl,exit_reason,trading_year,leg_x,leg_y
LONG,2016-11-11,2016-11-14,-5.040219633406214,-4.961561524939386,-2.4361416699966725,-2.465394733196623,1.2053161865107693,-153.1841221188095,stop_loss,2016,EWG,IWN
LONG,2016-11-14,2016-11-15,-4.573340029410807,-4.105200090550145,-3.411774622710737,-3.4176100896331247,1.431949972475491,-44.17296689720284,stop_loss,2016,EWG,IWD
LONG,2016-11-14,2016-11-15,-4.808329046063156,-4.092308768073392,-0.9637959368171698,-0.9649833397830045,1.0112486805803393,-26.026569546877756,stop_loss,2016,EZU,IWS
LONG,2016-11-08,2016-11-25,-2.261659472074701,-0.450977239271606,1.9263807641888602,1.9421560686093895,0.6241389139847581,77.69558841422366,convergence,2016,VOX,XLI
LONG,2016-11-15,2016-12-29,-4.092308768073392,-0.41578701432394344,-0.9649833397830045,-0.9617352091648579,1.0112486805803393,-3.5645905533295803,convergence,2016,EZU,IWS
LONG,2016-11-14,2016-12-29,-4.139215986113353,-0.3042791219747343,-2.0072792598353804,-1.9977936114024821,1.230796209102902,24.62793109719741,convergence,2016,EZU,RSP
LONG,2016-11-14,2016-12-29,-2.68777100701644,-0.3980008886178489,-1.6334951764813583,-1.6331527862198958,1.2129240816476494,-18.316048736356528,convergence,2016,EWN,IWP
LONG,2016-11-14,2016-12-30,-4.011179943833181,-1.036720355396855,2.1671580455685495,2.156062374838648,0.8128233218566631,-84.94774933740023,period_end,2016,IWF,XLF
LONG,2016-11-14,2016-12-30,-4.134185031890336,-1.0904983331830451,1.0782447244951605,1.0567380943838782,0.9035359384245957,-138.9180466551361,period_end,2016,IWF,VFH
LONG,2016-11-15,2016-12-30,-4.105200090550145,-0.5427520799609147,-3.4176100896331247,-3.4271516515767466,1.431949972475491,-59.780396560988976,period_end,2016,EWG,IWD
LONG,2016-10-11,2016-12-30,-2.0312234512586005,-1.1753275657361755,3.171589149387583,3.09673519594128,0.3909994553404732,-662.3230863015322,period_end,2016,IWF,KRE
LONG,2016-11-25,2016-12-30,-2.7455054579514897,-0.7363893983589476,-2.525707641073176,-2.5022879981970725,1.2053161865107693,91.40952049264358,period_end,2016,EWG,IWN
SHORT,2016-08-30,2016-12-30,2.1606994317727106,1.3764108736041225,-3.133857205311143,-2.915495157182366,1.3595847346120482,-1090.9695147409725,period_end,2016,KBE,VCR
LONG,2016-11-09,2016-12-30,-2.14915983438734,-0.9020193365032375,0.28294134814151484,0.221643349320086,1.0211459457006247,-325.5274374323696,period_end,2016,EEM,EWC
LONG,2017-05-08,2017-05-16,-2.4855263681323865,-0.38478991173907506,0.6791101834721696,0.6969946279895991,0.8033309644468034,80.1525760974309,convergence,2017,IBB,VHT
LONG,2017-05-08,2017-05-16,-2.4279566885613075,-0.1533688191371885,1.180150498919387,1.2003733600267479,0.8052685830221504,93.02676525965728,convergence,2017,IBB,XLV
LONG,2017-05-01,2017-05-30,-2.5422360778870456,-0.4163331718068341,0.145916921252212,0.15614285316963894,0.8264995483524341,36.159103304024086,convergence,2017,DVY,VBK
LONG,2017-05-10,2017-05-31,-2.199503473952587,-0.48647696027847115,0.02031378303198217,0.02857282720884058,0.8573029006582752,24.491479890169987,convergence,2017,SDY,VBK
LONG,2017-05-30,2017-06-02,-2.6815632896080324,0.12207002701969429,2.774880985607447,2.811025131590029,0.327922364761529,257.70509839305805,convergence,2017,IBB,IVV
LONG,2017-05-26,2017-06-02,-2.0670263116644394,-0.4719531329498029,2.9505760277458437,2.9701011517225413,0.40448085665682615,120.83844311175179,convergence,2017,IBB,IWP
LONG,2017-05-31,2017-06-02,-2.15671111116774,0.16056455032990585,3.046009455468777,3.0769855503983568,0.31194572611769816,220.2553796298951,convergence,2017,IBB,IWB
LONG,2017-04-28,2017-06-09,-2.0624308554009754,-0.4379284926917991,-0.7468038648108948,-0.7489911857790297,1.0611285015679486,-30.974177859094173,convergence,2017,DVY,VTI
SHORT,2017-04-20,2017-06-16,2.2152657622500533,0.41248230606790254,0.6561473944575624,0.6741214744733033,0.767049850749086,-124.99197426766078,convergence,2017,IWP,SDY
LONG,2017-05-25,2017-06-20,-2.193464950483861,-0.07233354635179305,0.6756439863504582,0.6870363762077676,0.8033309644468034,44.467739808788124,convergence,2017,IBB,VHT
LONG,2017-05-25,2017-06-20,-2.124975260718716,0.0322354783007156,1.1782071426531293,1.1906138051692854,0.8052685830221504,50.26040369532791,convergence,2017,IBB,XLV
SHORT,2017-06-20,2017-06-21,2.638708723619511,4.791586518720166,2.8369066003540917,2.8774205757023212,0.327922364761529,-331.62514380310137,stop_loss,2017,IBB,IVV
SHORT,2017-06-20,2017-06-21,2.1529706747637443,4.39827285976442,2.9995030476146307,3.039511425246584,0.40448085665682615,-311.0410885829447,stop_loss,2017,IBB,IWP
SHORT,2017-06-20,2017-06-21,2.699916814185208,4.821281427134227,3.1031056833644577,3.1436241187960405,0.31194572611769816,-335.45399523708306,stop_loss,2017,IBB,IWB
SHORT,2017-06-20,2017-06-21,2.938752459912392,5.075206157446774,3.028303714348306,3.0678176567491207,0.30932833013853733,-328.41141487931714,stop_loss,2017,IBB,IWO
SHORT,2017-06-20,2017-06-21,2.6464872091885603,4.788868011089481,3.1318552976767347,3.1722272172073165,0.31935941165024323,-332.5722428555567,stop_loss,2017,IBB,VV
SHORT,2017-06-20,2017-06-21,2.663722448772526,4.797910549018904,2.901629684872381,2.942088141247198,0.3158560562815287,-334.061356935423,stop_loss,2017,IBB,SPY
SHORT,2017-06-20,2017-06-21,2.7514349154455884,4.868957282319291,3.1797049431706723,3.2204359220994077,0.30147105893427056,-339.6230125188254,stop_loss,2017,IBB,VTI
SHORT,2017-06-21,2017-06-22,4.791586518720166,4.5006801396089475,2.8774205757023212,2.890133410452383,0.327922364761529,-116.43024189775451,stop_loss,2017,IBB,IVV
