pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
XBI_IBB,XBI,IBB,HEALTHCARE,SHORT,2011-04-14,2011-05-05,14,2.8246293409681216,0.9928490449917853,0.9953879383695512,5.657773271086196,-141.98316854400792,max_holding,56952.35289619616,-760.8876666714691,509.2790266957075,22.506866455078125,33.47126770019531
VGK_EWU,VGK,EWU,EUROPE,SHORT,2011-05-03,2011-05-20,13,2.8778470175543296,0.3323854518940628,0.9877126871892167,5.34474139398633,290.4623352309812,max_holding,57381.7001152883,-512.125197470146,810.0472311969182,33.821659088134766,21.11987495422364
EWU_EWL,EWU,EWL,EUROPE,LONG,2011-05-03,2011-05-26,17,-2.93866501196685,-1.5981134110547428,1.0519786717793544,6.81761841862078,-299.26162357357634,max_holding,57381.7001152883,794.4388551965143,-875.0218384871193,21.11987495422364,20.17157745361328
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2011-05-03,2011-06-15,30,2.8097045150971622,0.058448111174072115,0.7513838308993663,13.162862933816777,117.9379710233269,convergence,57381.7001152883,-780.9811071558483,636.5162038360398,25.17113494873047,23.20575523376465
EWS_EWT,EWS,EWT,ASIA_DEV,SHORT,2012-04-20,2012-05-15,17,2.940358586976749,0.1419965470164906,0.773678206914459,8.231161658733956,427.56709845660345,convergence,57348.85562942502,-1307.4142450327688,1025.436332748594,14.838430404663086,14.637025833129885
VHT_IBB,VHT,IBB,HEALTHCARE,LONG,2012-05-11,2012-06-04,15,-2.9841276339550222,-1.4088427443848481,0.7738057543911686,6.329413460905554,-105.66513430690365,max_holding,57348.85562942502,349.6542758281142,-367.74306388627764,55.47931671142578,40.81853485107422
XLV_IBB,XLV,IBB,HEALTHCARE,LONG,2012-05-15,2012-06-12,19,-2.8217023220180915,-0.6307378431175347,0.7012273930524507,7.705794225704298,192.55759171264936,max_holding,57776.422727881625,694.8875814028937,-351.30915364637616,29.324119567871094,40.67325592041016
EWT_EWY,EWT,EWY,ASIA_DEV,SHORT,2013-04-19,2013-05-09,14,3.180392178670538,1.7145297785202145,0.8963190975894659,5.861134508198013,-84.81011948169701,max_holding,57863.31518528737,-1157.262504207934,368.93575031782575,15.82017421722412,44.47900390625
EWI_EWP,EWI,EWP,EUROPE,SHORT,2013-05-20,2013-06-12,16,2.811290785785586,0.18760066688745403,0.7744935244718194,8.965892917483725,648.0889852538404,convergence,57778.50506580567,-1061.6129618074033,747.582941778389,18.40250396728516,20.23958206176757
XOP_OIH,XOP,OIH,ENERGY,SHORT,2014-04-17,2014-05-07,13,3.0111599862335607,-0.10713502089858172,1.1127426498537238,8.015689327240782,314.62384153207864,convergence,58426.59405105951,-40.44243324826451,13.427240693054427,250.12255859375,838.29736328125
