pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-04-21,2011-04-28,4,-2.8692458457319137,-0.1695013353984962,0.776336322478613,10.479668817029314,55.07599462012689,convergence,53697.17015861335
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2011-04-07,2011-04-28,14,-3.15383237814351,-0.8697826711123362,0.8015600438871174,5.816031226812864,214.13940294268372,max_holding,53697.17015861335
XBI_IBB,XBI,IBB,HEALTHCARE,SHORT,2011-04-14,2011-05-05,14,2.8246293409681216,0.9928490449917853,0.9953879383695512,5.657773271086196,-124.6508364656967,max_holding,53697.17015861335
VGK_EWU,VGK,EWU,EUROPE,SHORT,2011-05-03,2011-05-20,13,2.8778470175543296,0.3323854518940628,0.9877126871892167,5.34474139398633,151.6901090305932,max_holding,53845.21155289
EWU_EWL,EWU,EWL,EUROPE,LONG,2011-05-03,2011-05-26,17,-2.93866501196685,-1.5981134110547428,1.0519786717793544,6.81761841862078,-32.59549897575312,max_holding,53845.21155289
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2011-05-03,2011-06-15,30,2.8097045150971622,0.058448111174072115,0.7513838308993663,13.162862933816777,102.76618746601483,convergence,53845.21155289
EWS_EWT,EWS,EWT,ASIA_DEV,SHORT,2012-04-20,2012-05-15,17,2.940358586976749,0.1419965470164906,0.773678206914459,8.231161658733956,372.77735864464563,convergence,53942.421513945155
VHT_IBB,VHT,IBB,HEALTHCARE,LONG,2012-05-11,2012-06-04,15,-2.9841276339550222,-1.4088427443848481,0.7738057543911686,6.329413460905554,-92.12488474895389,max_holding,53942.421513945155
XLV_IBB,XLV,IBB,HEALTHCARE,LONG,2012-05-15,2012-06-12,19,-2.8217023220180915,-0.6307378431175347,0.7012273930524507,7.705794225704298,166.6402856227073,max_holding,54315.198872589805
EWT_EWY,EWT,EWY,ASIA_DEV,SHORT,2013-04-19,2013-05-09,14,3.180392178670538,1.7145297785202145,0.8963190975894659,5.861134508198013,-72.45744752242248,max_holding,54389.714273463556
EWI_EWP,EWI,EWP,EUROPE,SHORT,2013-05-20,2013-06-12,16,2.811290785785586,0.18760066688745403,0.7744935244718194,8.965892917483725,560.8391775762565,convergence,54317.256825941135
XOP_OIH,XOP,OIH,ENERGY,SHORT,2014-04-17,2014-05-07,13,3.0111599862335607,-0.10713502089858172,1.1127426498537238,8.015689327240782,441.647874589198,convergence,54878.09600351739
XLI_IYT,XLI,IYT,INDUSTRIALS,LONG,2014-05-28,2014-06-27,22,-2.849014008651337,-1.5166786795367166,1.0821584858549418,9.000086044263076,-14.622987905030435,max_holding,55319.74387810659
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2016-06-14,2016-06-22,6,-3.1261852953675877,-0.2545667058487045,0.8742229020130766,5.348316557882564,108.34256240948909,convergence,55305.12089020156
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2016-06-24,2016-07-14,13,-3.4586012460961744,-0.5784227506072662,0.8742229020130766,5.348316557882564,77.22047583122401,max_holding,55413.463452611046
EWJ_DXJ,EWJ,DXJ,ASIA_DEV,SHORT,2016-06-27,2016-07-19,15,2.9463614153720084,0.5760862869274426,0.7525620687965349,6.271514300868031,328.7069442722303,max_holding,55413.463452611046
EZU_EWU,EZU,EWU,EUROPE,LONG,2016-06-24,2016-07-21,18,-2.894576641191352,-0.5660221091693617,0.7586753903944565,7.319257887691719,195.2836441684156,max_holding,55413.463452611046
EWU_EWL,EWU,EWL,EUROPE,LONG,2017-05-04,2017-05-17,9,-3.10628199008447,-0.2983363431479659,0.9584799510355139,5.1116811968892835,49.77060299004219,convergence,56014.67451688291
VGK_EWL,VGK,EWL,EUROPE,SHORT,2017-04-24,2017-05-22,20,3.3950309799082063,0.5580840762454085,0.9800037833216716,8.36580072509764,81.8121918850726,max_holding,56014.67451688291
EWU_EWQ,EWU,EWQ,EUROPE,LONG,2017-04-24,2017-05-30,25,-3.1907117756009913,-0.7277482072210748,0.8056087812012407,10.20582791963779,62.640163303992296,max_holding,56014.67451688291
DBC_USO,DBC,USO,COMMODITIES,SHORT,2017-06-21,2017-07-25,23,3.0735009111450924,0.053132323366381504,0.674650284836645,13.500789320641603,290.22156843043615,convergence,56208.89747506202
DBC_USO,DBC,USO,COMMODITIES,SHORT,2017-08-31,2017-09-26,17,3.036158257226735,0.012652931352615368,0.674650284836645,13.500789320641603,495.71175292552334,convergence,56499.11904349246
EWI_EWN,EWI,EWN,EUROPE,SHORT,2018-04-19,2018-05-16,19,3.5214506117635644,-0.14126143682015163,1.1216779862158588,11.927783998968724,237.34385038173522,convergence,56994.830796417984
FEZ_EWI,FEZ,EWI,EUROPE,SHORT,2018-05-18,2018-07-09,34,3.121591078336253,0.9397943495251504,0.727583727545453,13.963463785130516,-208.61390714444147,max_holding,57232.17464679972
EWI_EWN,EWI,EWN,EUROPE,LONG,2018-05-29,2018-07-10,29,-3.300892351850905,-0.6621831789629993,1.1216779862158588,11.927783998968724,302.1954017320975,max_holding,57232.17464679972
EZU_EWI,EZU,EWI,EUROPE,SHORT,2018-05-21,2018-07-11,35,2.809605229898981,0.7590255014683261,0.7748578899469161,14.804128689550003,-150.22083130349762,max_holding,57232.17464679972
SCHV_DVY,SCHV,DVY,US_VALUE,LONG,2018-06-27,2018-07-16,12,-2.9233668096124847,-0.010448757599955096,1.1468147551330026,6.663542817733871,204.71709201012644,convergence,57232.17464679972
EZU_EWI,EZU,EWI,EUROPE,SHORT,2018-08-28,2018-09-05,5,2.921890502042927,0.06488917581051415,0.7748578899469161,14.804128689550003,530.7669561744241,convergence,57380.252402094
IJR_VBK,IJR,VBK,US_SMALL,LONG,2019-06-07,2019-07-01,16,-3.062524501764661,-1.3243805119134215,1.081618948200894,6.418177738263386,-92.93393294023556,max_holding,57911.01935826843
KRE_IAI,KRE,IAI,FINANCIALS,LONG,2019-06-10,2019-07-03,17,-2.807860539513621,-1.6823506649032647,1.4884903085455372,7.182875906431372,117.256833989906,max_holding,57911.01935826843
RSP_OEF,RSP,OEF,US_BROAD,SHORT,2020-06-05,2020-06-24,13,2.9663784211031023,-0.029572406045796452,0.7971598639449516,8.804754669507204,1183.2249013170497,convergence,57935.3422593181
LQD_IGIB,LQD,IGIB,BONDS_CORP,SHORT,2021-06-17,2021-07-08,14,3.1788437475711815,1.7987039051923215,1.0931130284642228,5.827794897848419,-74.3345121166364,max_holding,59118.56716063515
LQD_VCIT,LQD,VCIT,BONDS_CORP,SHORT,2021-06-17,2021-07-08,14,3.06620853642,1.7842217192739922,1.117450960987107,5.677474585783511,-69.38662539257123,max_holding,59118.56716063515
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2021-06-08,2021-07-19,28,-2.856331179564543,-1.7918149726112806,1.4725819914802465,11.578453031051968,-793.4214845281278,max_holding,59118.56716063515
LQD_VCIT,LQD,VCIT,BONDS_CORP,SHORT,2021-09-22,2021-09-28,4,2.8741270842065556,-0.5730913326950998,1.117450960987107,5.677474585783511,30.310837573009735,convergence,58181.424538597814
FEZ_EWL,FEZ,EWL,EUROPE,SHORT,2021-09-27,2021-10-21,18,2.9434203108496027,0.02152315124252582,1.4725819914802465,11.578453031051968,581.6315676816348,convergence,58181.424538597814
