universe,leg_x,leg_y,correlation,n_obs,spread_mean,spread_std,hedge_ratio,coint_statistic,coint_pvalue,half_life,spread_range_pct,excluded_reason
full_universe,VGK,EWU,0.8932885919409792,252,1.5621064227531154,0.01328951036569774,0.7420332348872805,-2.0274871409132533,0.5142634014806639,15.162931444436296,9.473418635679721,pvalue:0.5142634014806639
full_universe,DVY,VYM,0.8892362386335705,252,-0.5428379623368281,0.01622041639117011,1.1189561883072636,-2.02681180081606,0.5146156550833615,23.845062102022297,8.089178897001077,pvalue:0.5146156550833615
full_universe,VV,VB,0.7677492711059487,252,-0.7851863107109766,0.028788358966817865,1.1618454440575596,-2.025232149419488,0.5154394985931156,18.549954542870196,17.588945716909507,pvalue:0.5154394985931156
full_universe,VTV,VYM,0.9880621692770805,252,0.16319487417480227,0.003386858568527578,1.0301131697370478,-2.0244552948115624,0.5158446063549212,13.15911295541802,2.18052210296581,pvalue:0.5158446063549212
full_universe,EMB,IGIB,0.8695731715683199,252,-0.046229722007355374,0.009281580057632549,1.1500063145206323,-2.024093613307705,0.5160332018233001,21.49638088653802,4.773801884591549,pvalue:0.5160332018233001
full_universe,VTI,VB,0.8340307143675051,252,-0.6140880430610824,0.025368659295442908,1.1439996951001807,-2.0176285606709894,0.5194030845178128,18.666153949388182,15.40171539831745,pvalue:0.5194030845178128
full_universe,XLF,SCHV,0.8504906633430623,252,-0.8420342494439036,0.012455466861738977,1.4302387224728104,-2.0128661349158947,0.5218838525924336,8.976823179953563,17.5391867832532,pvalue:0.5218838525924336
full_universe,VTI,OEF,0.956420280710566,252,0.7989388039027655,0.007572936219244385,0.8606052031171384,-2.009125149848333,0.5238315016539604,17.319335744302112,7.550950241610451,pvalue:0.5238315016539604
full_universe,IWB,IYW,0.8914921092262984,252,1.665833129894744,0.018371179729097048,0.8084661917634782,-2.0008353642618277,0.5281438147330126,18.903211691013617,15.26124292280953,pvalue:0.5281438147330126
full_universe,BND,IGIB,0.9743146825197907,252,1.136368117688945,0.00409088363623278,0.7978799756906289,-1.995352475081737,0.5309930853320377,21.755743075463545,2.956271005192818,pvalue:0.5309930853320377
full_universe,EWA,MOO,0.7217248752407379,252,2.3760111511850597,0.05151871226368233,0.1851788731813785,-1.9869198823925596,0.5353702771304071,29.828570865365602,23.31053035460114,pvalue:0.5353702771304071
full_universe,FEZ,EWU,0.7698037046352686,252,1.6764791983806788,0.027696753663219525,0.6298557313955138,-1.9866530706168493,0.5355086708133516,21.65316439518128,15.981315262170625,pvalue:0.5355086708133516
full_universe,XLF,IVE,0.8636764607833702,252,-4.187309687268289,0.01319207436159888,1.522362614721721,-1.9865420090961206,0.5355662758419286,10.757226369454685,19.0129069975212,pvalue:0.5355662758419286
